"","Latitude","Longitude","Borough","Job.Type","Permit.Type","Job.Number","BIN","Permit.Filing.Status","Job.Type2","Cost.Estimate","Enlargement.Flag","Square.Footage","Permit.Issuance.Date","Permit.Expiration.Date","Job.Location.House.Number","Job.Location.Street.Name","Community.Board","General.Contractor","Proposed.Occupancy.Class","Proposed.Stories","Proposed.Dwelling.Units","Accident_Pred","Accident_Prob.0","Accident_Prob.1"
"31",40.51902,-74.20724,"Staten Island","NB","New Building","520259764","5169643","I","NB",   617012,"No",   4169,"2018-06-19","2019-01-05","11","CRESTON STREET","503","PLATINUM PLUMBING HEATING","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"32",40.51988,-74.20509,"Staten Island","NB","New Building","520309746","5169414","I","NB",   616864,"No",   4168,"2017-12-14","2018-12-14","16","FINLAY AVENUE","503","SURF SIDE PROPERTIES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"33",40.51993,-74.20492,"Staten Island","NB","New Building","520309755","5170178","I","NB",   718836,"No",   4857,"2017-12-14","2018-12-14","12","FINLAY AVENUE","503","SURF SIDE PROPERTIES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"34",40.52159,-74.21077,"Staten Island","NB","New Building","520332462","5083345","I","NB",    96200,"No",    650,"2018-05-24","2019-05-24","28","LATOURETTE STREET","503","ALKA CONTRACTING INC","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"35",40.52443,-74.22240,"Staten Island","NB","New Building","520322687","5170218","I","NB",  1024752,"No",   6924,"2018-05-30","2019-02-19","2172","SOUTH SERVICE ROAD","503","MAXIMUM CONTRACTING INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"36",40.52453,-74.21403,"Staten Island","NB","New Building","520311001","5085532","I","NB",  1059088,"No",   7156,"2018-03-28","2019-03-01","6233","AMBOY ROAD","503","CHAMPION INTERNATIONAL CO","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"37",40.52486,-74.19985,"Staten Island","NB","New Building","520327012","5170356","I","NB",   521700,"No",   3525,"2018-07-23","2019-03-14","40","HERBERT STREET","503","MASTER BUILT HOMES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"38",40.52488,-74.19981,"Staten Island","NB","New Building","520327021","5170357","I","NB",   616568,"No",   4166,"2018-07-23","2019-03-14","44","HERBERT STREET","503","MASTER BUILT HOMES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"39",40.52580,-74.21416,"Staten Island","NB","New Building","520268013","5169723","I","NB",   727420,"No",   4915,"2018-06-05","2019-05-12","41","IDAHO AVENUE","503","CPMG CUSTOM HOME BUILDERS","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"40",40.52607,-74.21432,"Staten Island","NB","New Building","520268004","5170590","I","NB",   727420,"No",   4915,"2018-06-05","2019-05-12","33","IDAHO AVENUE","503","CPMG CUSTOM HOME BUILDERS","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"41",40.52756,-74.17525,"Staten Island","NB","New Building","520278128","5169360","I","NB",    37296,"No",    252,"2018-01-29","2019-01-10","300 GARAGE","POILLON AVENUE","503","JOE CINA & SONS CONTRACT","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"42",40.53004,-74.20368,"Staten Island","NB","New Building","520324051","5170412","I","NB",    37000,"No",    250,"2018-04-11","2019-04-11","341 GAR","ASHLAND AVE","503","A. FONTANA & SONS LLC","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"43",40.53027,-74.20367,"Staten Island","NB","New Building","520324042","5084750","I","NB",   654456,"No",   4422,"2018-04-11","2018-10-29","341","ASHLAND AVE","503","A. FONTANA & SONS LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"44",40.53487,-74.15761,"Staten Island","A1","ALT 1 Enlargement","520330044","5069244","I","A1",   310710,"Yes",   1638,"2018-06-26","2018-10-29","337","RETFORD AVENUE","503","L & J MASONRY LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 1,  1,"0",0.994834788,0.005165212
"45",40.53584,-74.20276,"Staten Island","A1","ALT 1 Enlargement","520332881","5084258","I","A1",   318720,"Yes",   1488,"2018-07-12","2018-12-22","891","IONIA AVENUE","503","FREDERICKSEN CONTRACTING","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"46",40.53600,-74.14926,"Staten Island","NB","New Building","520327502","5068490","I","NB",   450364,"No",   3043,"2018-05-23","2019-01-30","55","GROTON STREET","503","WAHLER PLACE,LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"47",40.53629,-74.18219,"Staten Island","NB","New Building","520266293","5166716","I","NB",   430088,"No",   2906,"2018-02-13","2018-12-12","76","TENAFLY PLACE","503","OUR ISLAND PROPERTY MANAG","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"48",40.53632,-74.18203,"Staten Island","NB","New Building","520266284","5166714","I","NB",   397824,"No",   2688,"2018-01-19","2018-12-12","72","TENAFLY PLACE","503","OUR ISLAND PROPERTY MANAG","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"49",40.53857,-74.16408,"Staten Island","A1","ALT 1 Enlargement","520316239","5068912","I","A1",    40000,"Yes",    162,"2018-03-02","2019-02-07","423","SYCAMORE STREET","503","NILSEN CONTRACTING INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"50",40.53863,-74.23370,"Staten Island","NB","New Building","520311653","5166441","I","NB",  2180040,"No",  14730,"2018-04-25","2019-04-01","15","STORER AVENUE","503","G.FIORE CONCRETE & CONST","STORAGE: LOW HAZARD", 2,  0,"0",0.994834788,0.005165212
"51",40.53887,-74.21138,"Staten Island","NB","New Building","520317531","5170286","I","NB",   363192,"No",   2454,"2018-05-23","2019-01-26","1018","STAFFORD AVE","503","MADONIA DEVELOPMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"52",40.53887,-74.21133,"Staten Island","NB","New Building","520317522","5170287","I","NB",   363192,"No",   2454,"2018-05-23","2019-01-26","1016","STAFFORD AVE","503","MADONIA DEVELOPMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"53",40.53888,-74.21124,"Staten Island","NB","New Building","520317513","5170288","I","NB",   363192,"No",   2454,"2018-05-23","2019-01-26","1012","STAFFORD AVE","503","MADONIA DEVELOPMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"54",40.53889,-74.21120,"Staten Island","NB","New Building","520317504","5170289","I","NB",   370888,"No",   2506,"2018-05-23","2019-01-26","1010","STAFFORD AVE","503","MADONIA DEVELOPMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"55",40.53927,-74.14465,"Staten Island","NB","New Building","520145030","5068200","I","NB",   467976,"No",   3162,"2018-05-11","2019-02-19","219","WIMAN AVENUE","503","MAXIMUM CONTRACTING INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"56",40.53929,-74.14512,"Staten Island","NB","New Building","520305777","5169846","I","NB",    29600,"No",    200,"2018-02-12","2019-02-08","206GAR","WIMAN AVENUE","503","ARBUTUS HYLAN REALTY CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"57",40.53999,-74.15225,"Staten Island","NB","New Building","520319129","5067707","I","NB",   491212,"No",   3319,"2018-07-20","2019-03-17","98","WILLIAM AVENUE","503","AMERICAN HOME BUILDING AN","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"58",40.54077,-74.20680,"Staten Island","NB","New Building","520318086","5170439","I","NB",    41292,"No",    279,"2018-06-29","2019-06-29","598GAR","FOSTER ROAD","503","A.E.H BUILDERS CORP","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"59",40.54077,-74.20680,"Staten Island","NB","New Building","520328743","5170438","I","NB",   557072,"No",   3764,"2018-06-29","2018-12-09","598","FOSTER ROAD","503","A.E.H BUILDERS CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"60",40.54085,-74.20710,"Staten Island","NB","New Building","520318102","5085087","I","NB",   557072,"No",   3764,"2018-06-29","2018-12-09","600","FOSTER ROAD","503","A.E.H BUILDERS CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"61",40.54085,-74.20710,"Staten Island","NB","New Building","520318111","5141308","I","NB",    41292,"No",    279,"2018-06-29","2019-06-29","600GAR","FOSTER ROAD","503","A.E.H BUILDERS CORP","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"62",40.54169,-74.14870,"Staten Island","NB","New Building","520311859","5170182","I","NB",   666000,"No",   4500,"2018-07-12","2019-05-18","68","DRIGGS STREET","503","EARL LYNGSTAD INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"63",40.54178,-74.18811,"Staten Island","A1","ALT 1 Enlargement","520314829","5081034","I","A1",   224000,"Yes",   1263,"2018-05-17","2019-02-27","156","HEENAN AVENUE","503","J. SMITH CONSTRUCTION INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"64",40.54193,-74.14895,"Staten Island","NB","New Building","520311868","5170183","I","NB",    39072,"No",    264,"2018-07-13","2019-07-12","68GAR","DRIGGS STREET","503","EARL LYNGSTAD INC","UTILITY / MISCELLANEOUS", 1,  0,"0",0.994834788,0.005165212
"65",40.54354,-74.15303,"Staten Island","NB","New Building","520335879","5170368","I","NB",    39812,"No",    269,"2018-07-05","2019-07-05","41GAR","RAMBLEWOOD AVENUE","503","PALERMO CONSTRUCTION CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"66",40.54358,-74.15306,"Staten Island","NB","New Building","520335860","5170370","I","NB",    39812,"No",    269,"2018-07-05","2019-07-05","43GAR","RAMBLEWOOD AVENUE","503","PALERMO CONSTRUCTION CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"67",40.54367,-74.14556,"Staten Island","A1","ALT 1 Enlargement","520319469","5065953","I","A1",   284975,"Yes",   1005,"2018-07-25","2018-10-28","79","TARLEE PLACE","503","CRAFT MASTER BUILDERS COR","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"68",40.54373,-74.15287,"Staten Island","NB","New Building","520335888","5066910","I","NB",   460132,"No",   3109,"2018-07-05","2019-06-14","41","RAMBLEWOOD AVENUE","503","PALERMO CONSTRUCTION CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"69",40.54382,-74.15296,"Staten Island","NB","New Building","520335851","5170369","I","NB",   460132,"No",   3109,"2018-07-05","2019-06-14","43","RAMBLEWOOD AVENUE","503","PALERMO CONSTRUCTION CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"70",40.54441,-74.17889,"Staten Island","NB","New Building","520322357","5170172","I","NB",   486476,"No",   3287,"2018-03-19","2019-03-19","181","DETROIT AVENUE","503","LIBERTY ESTATES CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"71",40.54441,-74.17889,"Staten Island","NB","New Building","520322366","5170173","I","NB",    44400,"No",    300,"2018-03-19","2019-03-19","181GAR","DETROIT AVENUE","503","LIBERTY ESTATES CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"72",40.54446,-74.17885,"Staten Island","NB","New Building","520318932","5170170","I","NB",   486476,"No",   3287,"2018-03-19","2019-03-19","177","DETROIT AVENUE","503","LIBERTY ESTATES CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"73",40.54446,-74.17885,"Staten Island","NB","New Building","520318941","5170171","I","NB",    44400,"No",    300,"2018-03-19","2019-03-19","177GAR","DETROIT AVENUE","503","LIBERTY ESTATES CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"74",40.54751,-74.18483,"Staten Island","A1","ALT 1 Enlargement","520310244","5080232","I","A1",   263000,"Yes",   1307,"2017-11-21","2018-09-07","140","SINCLAIR AVE","503","FIORIBELLO HOMES, LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"75",40.54826,-74.19085,"Staten Island","NB","New Building","520304787","5170111","I","NB",   546564,"No",   3693,"2018-02-23","2018-09-10","61","CANTON AVENUE","503","FJN DEVELOPEMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"76",40.54826,-74.19085,"Staten Island","NB","New Building","520304812","5170112","I","NB",    36852,"No",    249,"2018-02-23","2019-02-23","61GARAGE","CANTON AVENUE","503","FJN DEVELOPEMENT CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"77",40.54830,-74.19093,"Staten Island","NB","New Building","520304778","5170113","I","NB",   546564,"No",   3693,"2018-02-23","2018-09-10","65","CANTON AVENUE","503","FJN DEVELOPEMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"78",40.54830,-74.19093,"Staten Island","NB","New Building","520304803","5170114","I","NB",    36852,"No",    249,"2018-03-14","2018-09-10","65GARAGE","CANTON AVENUE","503","FJN DEVELOPEMENT CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"79",40.54838,-74.19053,"Staten Island","NB","New Building","520304796","5170960","I","NB",   546564,"No",   3693,"2018-02-23","2018-09-10","57","CANTON AVENUE","503","FJN DEVELOPEMENT CORP","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"80",40.54838,-74.19053,"Staten Island","NB","New Building","520304821","5077663","I","NB",    36852,"No",    249,"2018-02-23","2019-02-23","57GARAGE","CANTON AVENUE","503","FJN DEVELOPEMENT CORP","UTILITY / MISCELLANEOUS", 1,NA,"0",0.994834788,0.005165212
"81",40.54849,-74.18810,"Staten Island","NB","New Building","520275185","5166990","I","NB",   574980,"No",   3885,"2018-02-02","2019-01-10","251","CROWN AVENUE","503","MIRANCO CONTRACTING, INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"82",40.54858,-74.18316,"Staten Island","NB","New Building","520286707","5168346","I","NB",    53280,"No",    360,"2018-03-16","2019-03-12","555","ARDEN AVENUE","503","SLATER ASSOCIATES INC","STORAGE: LOW HAZARD", 1,  1,"0",0.994834788,0.005165212
"83",40.55027,-74.14472,"Staten Island","NB","New Building","520292763","5169201","I","NB",   760128,"No",   5136,"2018-06-05","2019-05-13","145","GREAT KILLS ROAD","503","OAK DEVELOPERS,LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"84",40.55069,-74.14449,"Staten Island","NB","New Building","520292754","5169202","I","NB",   670588,"No",   4531,"2018-06-05","2019-05-13","20","DENT ROAD","503","OAK DEVELOPERS,LLC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"85",40.55155,-74.21925,"Staten Island","NB","New Building","520135746","5086669","I","NB", 20779200,"No", 140400,"2018-06-14","2019-02-12","2601","VETERANS ROAD WEST","503","HOLLISTER CONSTRUCTION SE","STORAGE: MODERATE HAZARD", 4,NA,"0",0.882221227,0.117778773
"86",40.55437,-74.16578,"Staten Island","NB","New Building","520313321","5170285","I","NB",   647944,"No",   4378,"2018-01-16","2018-10-22","224","GETZ AVENUE","503","KRAMER ENTERPRISES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  2,"0",0.994834788,0.005165212
"87",40.55449,-74.16580,"Staten Island","NB","New Building","520313312","5170284","I","NB",   494024,"No",   3338,"2018-01-16","2018-10-22","222","GETZ AVENUE","503","KRAMER ENTERPRISES INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  2,"0",0.994834788,0.005165212
"88",40.55677,-74.13050,"Staten Island","NB","New Building","520311813","5170232","I","NB",   319680,"No",   2160,"2018-06-12","2019-03-26","168","HOPKINS AVE","503","STEADFAST CONSTRUCTION LL","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"89",40.55681,-74.13057,"Staten Island","NB","New Building","520311822","5170233","I","NB",   319680,"No",   2160,"2018-06-12","2019-03-26","164","HOPKINS AVE","503","STEADFAST CONSTRUCTION LL","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"90",40.55685,-74.13064,"Staten Island","NB","New Building","520311831","5170234","I","NB",   319680,"No",   2160,"2018-06-12","2019-03-26","160","HOPKINS AVE","503","STEADFAST CONSTRUCTION LL","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 3,  1,"0",0.994834788,0.005165212
"91",40.55688,-73.92073,"Queens","NB","New Building","420656436","4467030","I","NB",   386724,"No",   2613,"2018-06-20","2018-10-26","36","BEACH 219TH STREET","414","ROCKFISH CUSTOM BUILDERS","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"92",40.55688,-73.92073,"Queens","NB","New Building","420659852","4466162","I","NB",   296592,"No",   2004,"2018-02-14","2018-09-01","149","REID AVE","414","LMD RESIDENTIAL INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
"93",40.55688,-73.92073,"Queens","NB","New Building","420662599","4465701","I","NB",   241536,"No",   1632,"2018-03-23","2018-09-01","113","REID AVENUE","414","LMD RESIDENTIAL INC","RESIDENTIAL: 1 & 2 FAMILY HOUSES", 2,  1,"0",0.994834788,0.005165212
